zh	en
潜层	Latent Layer
潜在语义分析	Latent Semantic Analysis
潜在语义索引	Latent Semantic Indexing
潜变量/隐变量	Latent Variable
大数定律	Law of Large Numbers
层	Layer
层规范化	Layer Normalization
逐层的	Layer-Wise
逐层适应率缩放	Layer-Wise Adaptive Rate Scaling
逐层规范化	Layer-Wise Normalization
逐层预训练	Layer-Wise Pretraining
逐层训练	Layer-Wise Training
懒惰学习	Lazy Learning
叶结点	Leaf Node
泄漏线性整流函数	Leaky Lelu Function
泄漏修正线性单元/泄漏整流线性单元	Leaky Relu
渗漏单元	Leaky Unit
学成	Learned
学习近似推断	Learned Approximate Inference
学习器	Learner
学习	Learning
学习算法	Learning Algorithm
类比学习	Learning By Analogy
学习率	Learning Rate
学习率退火	Learning Rate Annealing
学习率衰减	Learning Rate Decay
学习率预热	Learning Rate Warmup
学习的学习	Learning To Learn
学习向量量化	Learning Vector Quantization
最小一般泛化	Least General Generalization
最小均方	Least Mean Squares
最小二乘法	Least Square Method
最小二乘回归树	Least Squares Regression Tree
留一交叉验证	Leave-One-Out Cross Validation
留一法	Leave-One-Out
勒贝格可积	Lebesgue-Integrable
左特征向量	Left Eigenvector
左奇异向量	Left Singular Vector
莱布尼兹法则	Leibniz's Rule
终身学习	Lifelong Learning
似然	Likelihood
线搜索	Line Search
线性自回归网络	Linear Auto-Regressive Network
线性链	Linear Chain
线性链条件随机场	Linear Chain Conditional Random Field
线性分类模型	Linear Classification Model
线性分类器	Linear Classifier
线性组合	Linear Combination
线性相关	Linear Dependence
线性判别分析	Linear Discriminant Analysis
线性因子模型	Linear Factor Model
线性映射	Linear Mapping
线性模型	Linear Model
线性规划	Linear Programming
线性回归	Linear Regression
线性缩放规则	Linear Scaling Rule
线性扫描	Linear Scan
线性空间	Linear Space
线性支持向量机	Linear Support Vector Machine
线性可分支持向量机	Linear Support Vector Machine In Linearly Separable Case
线性阈值单元	Linear Threshold Units
线性变换	Linear Transformation
线性无关	Linearly Independent
线性可分	Linearly Separable
线性可分数据集	Linearly Separable Data Set
链接分析	Link Analysis
联系函数	Link Function
链接预测	Link Prediction
连接表	Link Table
连接	Linkage
链接重要采样	Linked Importance Sampling
Lipschitz常数	Lipschitz Constant
Lipschitz连续	Lipschitz Continuous
流体状态机	Liquid State Machine
局部条件概率分布	Local Conditional Probability Distribution
局部不变性先验	Local Constancy Prior
局部对比度规范化	Local Contrast Normalization
局部曲率	Local Curvature
局部下降	Local Descent
局部不变性	Local Invariances
局部核	Local Kernel
局部马尔可夫性	Local Markov Property
局部极大值	Local Maxima
局部极大点	Local Maximum
局部极小	Local Minima
局部最小解	Local Minimizer
局部极小	Local Minimum
局部式表示/局部式表征	Local Representation
局部响应规范化	Local Response Normalization
局部线性嵌入	Locally Linear Embedding
对数似然函数	Log Likelihood
对数线性模型	Log Linear Model
对数似然	Log-Likelihood
对数似然损失函数	Log-Likelihood Loss Function
对数线性回归	Log-Linear Regression
对数损失函数	Logarithmic Loss Function
对数尺度	Logarithmic Scale
对数几率分布	Logistic Distribution
对数几率函数	Logistic Function
对率损失	Logistic Loss
对数几率回归	Logistic Regression
对数几率Sigmoid	Logistic Sigmoid
对数几率	Logit
长短期记忆	Long Short Term Memory
长短期记忆网络	Long Short-Term Memory Network
长程依赖问题	Long-Term Dependencies Problem
长期依赖	Long-Term Dependency
长期记忆	Long-Term Memory
环	Loop
环状信念传播	Loopy Belief Propagation
损失	Loss
损失函数	Loss Function
低秩矩阵近似	Low Rank Matrix Approximation
Lp距离	Lp Distance
机器学习模型	Machine Learning Model
机器学习	Machine Learning
机器翻译	Machine Translation
宏平均	Macro Average
宏F1	Macro-F1
宏查准率	Macro-P
宏查全率	Macron-R
马哈拉诺比斯距离	Mahalanobis Distance
主对角线	Main Diagonal
绝对多数投票	Majority Voting
多数表决规则	Majority Voting Rule
曼哈顿距离	Manhattan Distance
流形	Manifold
流形假设	Manifold Assumption
流形学习	Manifold Learning
流形正切分类器	Manifold Tangent Classifier
间隔	Margin
间隔理论	Margin Theory
边缘分布	Marginal Distribution
边缘独立性	Marginal Independence
边缘似然函数	Marginal Likelihood
边缘概率分布	Marginal Probability Distribution
边缘化	Marginalization
马尔可夫毯	Markov Blanket
马尔可夫链	Markov Chain
马尔可夫链蒙特卡罗	Markov Chain Monte Carlo
马尔可夫决策过程	Markov Decision Process
马尔可夫网络	Markov Network
马尔可夫过程	Markov Process
马尔可夫性质	Markov Property
马尔可夫随机场	Markov Random Field
掩码	Mask
掩码语言模型化	Mask Language Modeling
掩蔽自注意力	Masked Self-Attention
数学优化	Mathematical Optimization
矩阵	Matrix
矩阵微积分	Matrix Calculus
矩阵补全	Matrix Completion
矩阵分解	Matrix Decomposition
逆矩阵	Matrix Inversion
矩阵乘积	Matrix Product
最大范数	Max Norm
最大汇聚	Max Pooling
极大值	Maxima
最大团	Maximal Clique
极大	Maximization
M步	Maximization Step
极大-极大算法	Maximization-Maximization Algorithm
最大后验	Maximum A Posteriori
最大后验估计	Maximum A Posteriori Estimation
最大熵模型	Maximum Entropy Model
极大似然	Maximum Likelihood
极大似然估计	Maximum Likelihood Estimation
极大似然法	Maximum Likelihood Method
最大间隔	Maximum Margin
最大平均偏差	Maximum Mean Discrepancy
最大后验概率估计	Maximum Posterior Probability Estimation
最大带权生成树	Maximum Weighted Spanning Tree
Maxout单元	Maxout Unit
均值	Mean
平均绝对误差	Mean Absolute Error
均值和协方差RBM	Mean And Covariance RBM
平均场	Mean Filed
均值滤波	Mean Filter
平均汇聚	Mean Pooling
学生 t 分布均值乘积	Mean Product of Student t-Distribution
均方误差	Mean Squared Error
均值-协方差受限玻尔兹曼机	Mean-Covariance Restricted Boltzmann Machine
平均场	Mean-Field
均匀场	Meanfield
测度论	Measure Theory
零测度	Measure Zero
中位数	Median
记忆	Memory
记忆增强神经网络	Memory Augmented Neural Network
记忆容量	Memory Capacity
记忆元	Memory Cell
记忆网络	Memory Network
记忆片段	Memory Segment
Mercer 核	Mercer Kernel
消息	Message
消息传递	Message Passing
消息传递神经网络	Message Passing Neural Network
元学习器	Meta-Learner
元学习	Meta-Learning
元优化	Meta-Optimization
元规则	Meta-Rule
指标	Metric
度量学习	Metric Learning
微平均	Micro Average
微F1	Micro-F1
微査准率	Micro-P
微查全率	Micro-R
最小最大值规范化	Min-Max Normalization
小批量梯度	Mini-Batch Gradient
小批量梯度下降法	Mini-Batch Gradient Descent
小批次随机梯度下降	Mini-Batch SGD
小批量	Minibatch
小批量随机	Minibatch Stochastic
极小值	Minima
最小描述长度	Minimal Description Length
极小极大博弈	Minimax Game
极小点	Minimum
闵可夫斯基距离	Minkowski Distance
误分类代价	Misclassification Cost
混合	Mixing
混合时间	Mixing Time
混合密度网络	Mixture Density Network
混合分布	Mixture Distribution
混合专家模型	Mixture of Experts
高斯混合	Mixture-of-Gaussian
模态	Modality
峰值	Mode
模型	Model
模型平均	Model Averaging
模型坍塌	Model Collapse
模型复杂度	Model Complexity
模型压缩	Model Compression
模型可辨识性	Model Identifiability
模型并行	Model Parallelism
模型参数	Model Parameter
模型预测控制	Model Predictive Control
模型选择	Model Selection
模型无关的元学习	Model-Agnostic Meta-Learning
有模型学习	Model-Based Learning
基于模型的强化学习	Model-Based Reinforcement Learning
免模型学习	Model-Free Learning
模型无关的强化学习	Model-Free Reinforcement Learning
矩	Moment
矩匹配	Moment Matching
动量	Momentum
动量法	Momentum Method
蒙特卡罗	Monte Carlo
蒙特卡罗估计	Monte Carlo Estimate
蒙特卡罗积分	Monte Carlo Integration
蒙特卡罗方法	Monte Carlo Method
摩尔定律	Moore's Law
Moore-Penrose 伪逆	Moore-Penrose Pseudoinverse
端正图/道德图	Moral Graph
道德化	Moralization
最一般合一置换	Most General Unifier
移动平均	Moving Average
多臂赌博机问题	Multi-Armed Bandit Problem
多分类	Multi-Class Classification
多分类器系统	Multi-Classifier System
多文档摘要	Multi-Document Summarization
多头注意力	Multi-Head Attention
多头自注意力	Multi-Head Self-Attention
多跳	Multi-Hop
多核学习	Multi-Kernel Learning
多标签分类	Multi-Label Classification
多标记学习	Multi-Label Learning
多层前馈神经网络	Multi-Layer Feedforward Neural Networks
多层感知机	Multi-Layer Perceptron
多项对数几率回归模型	Multi-Nominal Logistic Regression Model
多预测深度玻尔兹曼机	Multi-Prediction Deep Boltzmann Machine
多响应线性回归	Multi-Response Linear Regression
多视图学习	Multi-View Learning
多重共线性	Multicollinearity
多峰值	Multimodal
多模态学习	Multimodal Learning
多项分布	Multinomial Distribution
Multinoulli分布	Multinoulli Distribution
Multinoulli输出分布	Multinoulli Output Distribution
多维缩放	Multiple Dimensional Scaling
多元线性回归	Multiple Linear Regression
多任务学习	Multitask Learning
多变量决策树	Multivariate Decision Tree
多元高斯分布	Multivariate Gaussian Distribution
多元正态分布	Multivariate Normal Distribution
互信息	Mutual Information
N元	N-Gram
N元特征	N-Gram Feature
N元模型	N-Gram Model
朴素贝叶斯算法	Naive Bayes Algorithm
朴素贝叶斯分类器	Naive Bayes Classifier
朴素贝叶斯	Naive Bayes
命名实体识别	Named Entity Recognition
窄卷积	Narrow Convolution
纳什均衡	Nash Equilibrium
纳什回归	Nash Reversion
奈特	Nats
自然指数衰减	Natural Exponential Decay
自然语言生成	Natural Language Generation
自然语言处理	Natural Language Processing
最近邻	Nearest Neighbor
最近邻分类器	Nearest Neighbor Classifier
最近邻图	Nearest Neighbor Graph
最近邻回归	Nearest Neighbor Regression
最近邻搜索	Nearest-Neighbor Search
负类	Negative Class
负相关法	Negative Correlation
负定	Negative Definite
负对数似然函数	Negative Log Likelihood
负部函数	Negative Part Function
负相	Negative Phase
负例	Negative Sample
负采样	Negative Sampling
半负定	Negative Semidefinite
近邻成分分析	Neighbourhood Component Analysis
Nesterov加速梯度	Nesterov Accelerated Gradient
Nesterov动量法	Nesterov Momentum
净活性值	Net Activation
净输入	Net Input
网络	Network
网络容量	Network Capacity
神经架构搜索	Neural Architecture Search
神经自回归密度估计器	Neural Auto-Regressive Density Estimator
神经自回归网络	Neural Auto-Regressive Network
神经语言模型	Neural Language Model
神经机器翻译	Neural Machine Translation
神经模型	Neural Model
神经网络	Neural Network
神经图灵机	Neural Turing Machine
神经动力学	Neurodynamics
神经形态计算	Neuromorphic Computing
神经元	Neuron
牛顿法	Newton Method
没有免费午餐定理	No Free Lunch Theorem
结点	Node
噪声	Noise
噪声分布	Noise Distribution
噪声对比估计	Noise-Contrastive Estimation
列名属性	Nominal Attribute
非自回归过程	Non-Autoregressive Process
非凸优化	Non-Convex Optimization
无信息先验	Non-Informative Prior
非线性模型	Non-Linear Model
非线性振荡	Non-Linear Oscillation
非线性支持向量机	Non-Linear Support Vector Machine
非度量距离	Non-Metric Distance
非负矩阵分解	Non-Negative Matrix Factorization
无序属性	Non-Ordinal Attribute
非参数	Non-Parametric
非参数化模型	Non-Parametric Model
非概率模型	Non-Probabilistic Model
非饱和博弈	Non-Saturating Game
不可分	Non-Separable
非凸	Nonconvex
非分布式	Nondistributed
非分布式表示	Nondistributed Representation
有外部输入的非线性自回归模型	Nonlinear Autoregressive With Exogenous Inputs Model
非线性共轭梯度	Nonlinear Conjugate Gradients
非线性独立成分估计	Nonlinear Independent Components Estimation
非线性规划	Nonlinear Programming
非参数密度估计	Nonparametric Density Estimation
范数	Norm
范数保持性	Norm-Preserving
正态分布	Normal Distribution
正规方程	Normal Equation
规范化	Normalization
规范化因子	Normalization Factor
规范化的	Normalized
标准初始化	Normalized Initialization
核范数	Nuclear Norm
零空间	Null Space
轮数	Number of Epochs
分子布局	Numerator Layout
数值	Numeric Value
数值属性	Numerical Attribute
数值微分	Numerical Differentiation
数值方法	Numerical Method
数值优化	Numerical Optimization
目标检测	Object Detection
对象识别	Object Recognition
目标	Objective
目标函数	Objective Function
斜决策树	Oblique Decision Tree
观测变量	Observable Variable
观测序列	Observation Sequence
奥卡姆剃刀	Occam's Razor
几率	Odds
异策略	Off-Policy
离线推断	Offline Inference
偏移量	Offset
偏移向量	Offset Vector
同策略	On-Policy
单试学习	One-Shot Learning
独依赖估计	One-Dependent Estimator
独热	One-Hot
在线	Online
在线推断	Online Inference
在线学习	Online Learning
操作	Operation
运算符	Operator
最佳容量	Optimal Capacity
最优化	Optimization
优化地形	Optimization Landscape
优化器	Optimizer
带序规则	Ordered Rule
有序属性	Ordinal Attribute
原点	Origin
正交	Orthogonal
正交初始化	Orthogonal Initialization
正交矩阵	Orthogonal Matrix
标准正交	Orthonormal
包外估计	Out-Of-Bag Estimate
外积	Outer Product
异常点	Outlier
输出	Output
输出门	Output Gate
输出层	Output Layer
输出调制法	Output Smearing
输出空间	Output Space
过度参数化	Over-Parameterized
过完备	Overcomplete
过估计	Overestimation
过拟合	Overfitting
过拟合机制	Overfitting Regime
上溢	Overflow
过采样	Oversampling
PAC学习	PAC Learning
PAC可学习	Pac-Learnable
填充	Padding
成对 t 检验	Paired t -Test
成对型	Pairwise
成对马尔可夫性	Pairwise Markov Property
分布式并行处理	Parallel Distributed Processing
并行回火	Parallel Tempering
参数	Parameter
参数估计	Parameter Estimation
参数服务器	Parameter Server
参数共享	Parameter Sharing
参数空间	Parameter Space
调参	Parameter Tuning
有参情况	Parametric Case
参数密度估计	Parametric Density Estimation
参数化模型	Parametric Model
参数化修正线性单元/参数化整流线性单元	Parametric ReLU
解析树	Parse Tree
词性标注	Part-Of-Speech Tagging
偏导数	Partial Derivative
部分可观测马尔可夫决策过程	Partially Observable Markov Decision Processes
粒子群优化算法	Particle Swarm Optimization
划分	Partition
配分函数	Partition Function
路径	Path
模式	Pattern
模式识别	Pattern Recognition
罚项	Penalty Term
感知机	Perceptron
性能度量	Performance Measure
周期的	Periodic
置换不变性	Permutation Invariant
困惑度	Perplexity
持续性对比散度	Persistent Contrastive Divergence
音素	Phoneme
语音	Phonetic
图形结构	Pictorial Structure
分段	Piecewise
分段常数衰减	Piecewise Constant Decay
流水线	Pipeline
板块表示	Plate Notation
即插即用生成网络	Plug And Play Generative Network
相对多数投票	Plurality Voting
点估计	Point Estimator
指针网络	Pointer Network
极性检测	Polarity Detection
策略	Policy
策略评估	Policy Evaluation
策略梯度	Policy Gradient
策略改进	Policy Improvement
策略迭代	Policy Iteration
策略搜索	Policy Search
多项式基函数	Polynomial Basis Function
多项式核函数	Polynomial Kernel Function
一词多义性	Polysemy
汇聚	Pool
汇聚	Pooling
汇聚函数	Pooling Function
汇聚层	Pooling Layer
病态条件	Poor Conditioning
位置嵌入	Position Embedding
位置编码	Positional Encoding
正类	Positive Class
正定	Positive Definite
正定核函数	Positive Definite Kernel Function
正定矩阵	Positive Definite Matrix
正部函数	Positive Part Function
正相	Positive Phase
正常返的	Positive Recurrent
正例	Positive Sample
半正定	Positive Semidefinite
半正定矩阵	Positive-Semidefinite Matrix
后续检验	Post-Hoc Test
后剪枝	Post-Pruning
后验分布	Posterior Distribution
后验推断	Posterior Inference
后验概率	Posterior Probability
势函数	Potential Function
幂法	Power Method
P-R曲线	PR Curve
预训练初始化	Pre-Trained Initialization
预训练	Pre-Training
查准率/准确率	Precision
精度矩阵	Precision Matrix
预测稀疏分解	Predictive Sparse Decomposition
预剪枝	Prepruning
预训练语言模型	Pretrained Language Model
主问题	Primal Problem
初级视觉皮层	Primary Visual Cortex
主成分分析	Principal Component Analysis
多释原则	Principle Of Multiple Explanations
先验	Prior
先验知识	Prior Knowledge
先验概率	Prior Probability
先验概率分布	Prior Probability Distribution
伪计数	Prior Pseudo-Counts
先验偏移	Prior Shift
优先级规则	Priority Rule
概率上下文无关文法	Probabilistic Context-Free Grammar
概率密度估计	Probabilistic Density Estimation
概率生成模型	Probabilistic Generative Model
概率图模型	Probabilistic Graphical Model
概率潜在语义分析	Probabilistic Latent Semantic Analysis
概率潜在语义索引	Probabilistic Latent Semantic Indexing
概率模型	Probabilistic Model
概率PCA	Probabilistic PCA
概率无向图模型	Probabilistic Undirected Graphical Model
概率	Probability
概率密度函数	Probability Density Function
概率分布	Probability Distribution
概率质量函数	Probability Mass Function
概率模型估计	Probability Model Estimation
概率近似正确	Probably Approximately Correct
专家之积	Product of Expert
乘法法则	Product Rule
恰PAC可学习	Properly PAC Learnable
成比例	Proportional
提议分布	Proposal Distribution
原子命题	Propositional Atom
命题规则	Propositional Rule
原型聚类	Prototype-Based Clustering
近端梯度下降	Proximal Gradient Descent
剪枝	Pruning
伪标记	Pseudo-Label
伪似然	Pseudolikelihood
Q函数	Q Function
Q学习	Q-Learning
Q网络	Q-Network
平方损失函数	Quadratic Loss Function
二次规划	Quadratic Programming
象限对	Quadrature Pair
量子化神经网络	Quantized Neural Network
量子计算机	Quantum Computer
量子计算	Quantum Computing
量子机器学习	Quantum Machine Learning
量子力学	Quantum Mechanics
拟牛顿法	Quasi Newton Method
拟凹	Quasi-Concave
查询	Query
查询向量	Query Vector
查询-键-值	Query-Key-Value
径向基函数	Radial Basis Function
随机访问存储	Random Access Memory
随机场	Random Field
随机森林算法	Random Forest Algorithm
随机森林	Random Forest
随机初始化	Random Initialization
随机采样	Random Sampling
随机搜索	Random Search
随机子空间	Random Subspace
随机变量	Random Variable
随机游走	Random Walk
值域	Range
秩	Rank
比率匹配	Ratio Matching
原始特征	Raw Feature
再平衡	Re-Balance
重采样	Re-Sampling
重赋权	Re-Weighting
读出函数	Readout Function
实时循环学习	Real-Time Recurrent Learning
查全率/召回率	Recall
受试者工作特征	Receiver Operating Characteristic
感受野	Receptive Field
再循环	Recirculation
认知权重	Recognition Weight
推荐系统	Recommender System
重构	Reconstruction
重构误差	Reconstruction Error
矩形对角矩阵	Rectangular Diagonal Matrix
整流线性	Rectified Linear
整流线性变换	Rectified Linear Transformation
修正线性单元/整流线性单元	Rectified Linear Unit
整流网络	Rectifier Network
循环	Recurrence
循环卷积网络	Recurrent Convolutional Network
循环多层感知器	Recurrent Multi-Layer Perceptron
循环网络	Recurrent Network
循环神经网络	Recurrent Neural Network
递归神经网络	Recursive Neural Network
可约的	Reducible
冗余特征	Redundant Feature
参考模型	Reference Model
区域	Region
回归	Regression
正则化	Regularization
正则化项	Regularizer
强化学习	Reinforcement Learning
拒绝采样	Rejection Sampling
关系	Relation
关系型数据库	Relational Database
相对熵	Relative Entropy
相关特征	Relevant Feature
再参数化/重参数化	Reparameterization
重参数化技巧	Reparametrization Trick
经验池	Replay Buffer
表示	Representation
表示学习	Representation Learning
表示容量	Representational Capacity
表示定理	Representer Theorem
再生核希尔伯特空间	Reproducing Kernel Hilbert Space
再缩放	Rescaling
储层计算	Reservoir Computing
重置门	Reset Gate
残差块	Residual Blocks
残差连接	Residual Connection
残差映射	Residual Mapping
残差网络	Residual Network
残差单元	Residual Unit
残差函数	Residue Function
归结商	Resolution Quotient
受限玻尔兹曼机	Restricted Boltzmann Machine
限定等距性	Restricted Isometry Property
总回报	Return
反向相关	Reverse Correlation
逆向KL散度	Reverse KL Divergence
反向模式累加	Reverse Mode Accumulation
可逆马尔可夫链	Reversible Markov Chain
奖励	Reward
奖励函数	Reward Function
岭回归	Ridge Regression
黎曼积分	Riemann Integral
右特征向量	Right Eigenvector
右奇异向量	Right Singular Vector
风险	Risk
风险函数	Risk Function
稳健性	Robustness
根结点	Root Node
舍入误差	Round-Off Error
行	Row
规则引擎	Rule Engine
规则学习	Rule Learning
S 折交叉验证	S-Fold Cross Validation
扫视	Saccade
鞍点	Saddle Point
无鞍牛顿法	Saddle-Free Newton Method
显著图	Saliency Map
基于显著性的注意力	Saliency-Based Attention
相同	Same
样本	Sample
样本复杂度	Sample Complexity
样本均值	Sample Mean
样本空间	Sample Space
样本方差	Sample Variance
采样	Sampling
采样法	Sampling Method
饱和	Saturate
饱和函数	Saturating Function
标量	Scalar
尺度不变性	Scale Invariance
散布矩阵	Scatter Matrix
计划采样	Scheduled Sampling
得分	Score
评分函数	Score Function
分数匹配	Score Matching
二阶导数	Second Derivative
二阶导数测试	Second Derivative Test
第二层	Second Layer
二阶方法	Second-Order Method
选择性注意力	Selective Attention
选择性集成	Selective Ensemble
自信息	Self Information
自注意力	Self-Attention
自注意力模型	Self-Attention Model
自对比估计	Self-Contrastive Estimation
自动驾驶	Self-Driving
自门控	Self-Gated
自组织映射网	Self-Organizing Map
自学习	Self-Taught Learning
自训练	Self-Training
语义鸿沟	Semantic Gap
语义哈希	Semantic Hashing
语义分割	Semantic Segmentation
语义相似度	Semantic Similarity
半正定规划	Semi-Definite Programming
半朴素贝叶斯分类器	Semi-Naive Bayes Classifiers
半受限玻尔兹曼机	Semi-Restricted Boltzmann Machine
半监督	Semi-Supervised
半监督聚类	Semi-Supervised Clustering
半监督学习	Semi-Supervised Learning
半监督支持向量机	Semi-Supervised Support Vector Machine
情感分析	Sentiment Analysis
可分离的	Separable
分离的	Separate
分离超平面	Separating Hyperplane
分离	Separation
序列标注	Sequence Labeling
序列到序列学习	Sequence To Sequence Learning
序列到序列	Sequence-To-Sequence
序贯覆盖	Sequential Covering
序列最小最优化	Sequential Minimal Optimization
时序模型优化	Sequential Model-Based Optimization
顺序分区	Sequential Partitioning
情景	Setting
浅度回路	Shadow Circuit
浅层学习	Shallow Learning
香农熵	Shannon Entropy
香农	Shannons
塑造	Shaping
尖锐最小值	Sharp Minima
打散	Shattering
平移不变性	Shift Invariance
短期记忆	Short-Term Memory
直连边	Shortcut Connection
短列表	Shortlist
孪生网络	Siamese Network
Sigmoid（一种激活函数）	Sigmoid
Sigmoid信念网络	Sigmoid Belief Network
S 形曲线	Sigmoid Curve
Sigmoid函数	Sigmoid Function
符号函数	Sign Function
带符号距离	Signed Distance
相似度	Similarity
相似度度量	Similarity Measure
简单细胞	Simple Cell
简单循环网络	Simple Recurrent Network
简单循环神经网络	Simple Recurrent Neural Network
单纯形	Simplex
模拟退火	Simulated Annealing
即时定位与地图构建	Simultaneous Localization And Mapping
单分量Metropolis-Hastings	Single Component Metropolis-Hastings
单连接	Single Linkage
奇异的	Singular
奇异值	Singular Value
奇异值分解	Singular Value Decomposition
奇异向量	Singular Vector
大小	Size
跳跃连接	Skip Connection
跳元模型	Skip-Gram Model
跳元模型加负采样	Skip-Gram Model With Negative Sampling
松弛变量	Slack Variable
慢特征分析	Slow Feature Analysis
慢性原则	Slowness Principle
平滑	Smoothing
平滑先验	Smoothness Prior
软性注意力机制	Soft Attention Mechanism
软聚类	Soft Clustering
软间隔	Soft Margin
软间隔最大化	Soft Margin Maximization
软目标	Soft Target
软投票	Soft Voting
Softmax/软最大化	Softmax
Softmax函数/软最大化函数	Softmax Function
Softmax回归/软最大化回归	Softmax Regression
Softmax单元/软最大化单元	Softmax Unit
Softplus函数	Softplus Function
源领域	Source Domain
张成子空间	Span
稀疏	Sparse
稀疏激活	Sparse Activation
稀疏自编码器	Sparse Auto-Encoder
稀疏编码	Sparse Coding
稀疏连接	Sparse Connectivity
稀疏初始化	Sparse Initialization
稀疏交互	Sparse Interactions
稀疏表示	Sparse Representation
稀疏权重	Sparse Weights
稀疏性	Sparsity
特化	Specialization
谱聚类	Spectral Clustering
谱半径	Spectral Radius
语音识别	Speech Recognition
尖峰和平板	Spike And Slab
尖峰和平板RBM	Spike And Slab RBM
脉冲神经网络	Spiking Neural Nets
切分点	Splitting Point
切分变量	Splitting Variable
虚假模态	Spurious Modes
方阵	Square
平方损失	Square Loss
欧氏距离平方	Squared Euclidean Distance
平方指数	Squared Exponential
挤压函数	Squashing Function
稳定性	Stability
可塑性-稳定性窘境	Stability-Plasticity Dilemma
稳定基学习器	Stable Base Learner
堆叠自编码器	Stacked Auto-Encoder
堆叠解卷积网络	Stacked Deconvolutional Network
堆叠循环神经网络	Stacked Recurrent Neural Network
标准基	Standard Basis
标准差	Standard Deviation
标准差	Standard Error
标准正态分布	Standard Normal Distribution
标准化	Standardization
状态	State
SARSA算法	State Action Reward State Action
状态序列	State Sequence
状态空间	State Space
状态值函数	State Value Function
状态-动作值函数	State-Action Value Function
声明	Statement
静态计算图	Static Computational Graph
静态博弈	Static Game
平稳的	Stationary
平稳分布	Stationary Distribution
驻点	Stationary Point
统计效率	Statistic Efficiency
统计学习	Statistical Learning
统计学习理论	Statistical Learning Theory
统计机器学习	Statistical Machine Learning
统计关系学习	Statistical Relational Learning
统计模拟方法	Statistical Simulation Method
统计量	Statistics
状态特征函数	Status Feature Function
最速下降法	Steepest Descent
阶梯衰减	Step Decay
随机	Stochastic
随机课程	Stochastic Curriculum
随机动力系统	Stochastic Dynamical System
随机梯度上升	Stochastic Gradient Ascent
随机梯度下降	Stochastic Gradient Descent
带热重启的随机梯度下降	Stochastic Gradient Descent With Warm Restarts
随机矩阵	Stochastic Matrix
随机最大似然	Stochastic Maximum Likelihood
随机近邻嵌入	Stochastic Neighbor Embedding
随机神经网络	Stochastic Neural Network
随机性策略	Stochastic Policy
随机过程	Stochastic Process
停用词	Stop Words
分层采样	Stratified Sampling
流	Stream
步幅	Stride
字符串核函数	String Kernel Function
强分类器	Strong Classifier
强对偶性	Strong Duality
强连通图	Strongly Connected Graph
强可学习	Strongly Learnable
结构风险	Structural Risk
结构风险最小化	Structural Risk Minimization
结构学习	Structure Learning
结构化学习	Structured Learning
结构化概率模型	Structured Probabilistic Model
结构化变分推断	Structured Variational Inference
学生网络	Student Network
次最优	Sub-Optimal
亚原子	Subatomic
子采样	Subsample
下采样	Subsampling
子采样层	Subsampling Layer
子集评价	Subset Evaluation
子集搜索	Subset Search
子空间	Subspace
置换	Substitution
逐次减半	Successive Halving
求和法则	Sum Rule
和积	Sum-Product
和-积网络	Sum-Product Network
超父	Super-Parent
监督	Supervised
监督学习	Supervised Learning
监督学习算法	Supervised Learning Algorithm
监督模型	Supervised Model
监督预训练	Supervised Pretraining
支持向量	Support Vector
支持向量展式	Support Vector Expansion
支持向量机	Support Vector Machine
支持向量回归	Support Vector Regression
替代损失	Surrogat Loss
替代函数	Surrogate Function
代理损失函数	Surrogate Loss Function
符号	Symbol
符号微分	Symbolic Differentiation
符号学习	Symbolic Learning
符号表示	Symbolic Representation
符号主义	Symbolism
对称	Symmetric
对称矩阵	Symmetric Matrix
多词一义性	Synonymy
同义词集	Synset
合成特征	Synthetic Feature
T分布随机近邻嵌入	T-Distribution Stochastic Neighbour Embedding
表格值函数	Tabular Value Function
标注	Tagging
切面距离	Tangent Distance
切平面	Tangent Plane
正切传播	Tangent Propagation
目标	Target
目标领域	Target Domain
泰勒	Taylor
泰勒公式	Taylor's Formula
强制教学	Teacher Forcing
教师网络	Teacher Network
温度	Temperature
回火转移	Tempered Transition
回火	Tempering
时序差分学习	Temporal-Difference Learning
张量	Tensor
张量处理单元	Tensor Processing Units
单词频率-逆文本频率	Term Frequency-Inverse Document Frequency
终止状态	Terminal State
测试数据	Test Data
测试误差	Test Error
测试样本	Test Sample
测试集	Test Set
碰撞情况	The Collider Case
阈值	Threshold
阈值逻辑单元	Threshold Logic Unit
阈值移动	Threshold-Moving
捆绑权重	Tied Weight
Tikhonov正则化	Tikhonov Regularization
平铺卷积	Tiled Convolution
时延神经网络	Time Delay Neural Network
时间齐次马尔可夫链	Time Homogenous Markov Chain
时间步	Time Step
Toeplitz矩阵	Toeplitz Matrix
词元	Token
词元化	Tokenize
词元化	Tokenization
词元分析器	Tokenizer
容差	Tolerance
自顶向下	Top-Down
话题	Topic
话题模型	Topic Model
话题分析	Topic Modeling
话题向量空间	Topic Vector Space
话题向量空间模型	Topic Vector Space Model
话题-文本矩阵	Topic-Document Matrix
地质ICA	Topographic ICA
总体代价	Total Cost
迹	Trace
易处理的	Tractable
训练	Training
训练数据	Training Data
训练误差	Training Error
训练实例	Training Instance
训练样本	Training Sample
训练集	Training Set
轨迹	Trajectory
转录	Transcribe
转录系统	Transcription System
直推学习	Transductive Learning
直推迁移学习	Transductive Transfer Learning
迁移学习	Transfer Learning
变换	Transform
