zh	en
街区距离	City Block Distance
类别	Class
类标记	Class Label
类条件概率	Class-Conditional Probability
类别不平衡	Class-Imbalance
分类	Classification
分类与回归树	Classification And Regression Tree
分类器	Classifier
梯度截断	Clip Gradient
截断梯度	Clipping The Gradient
团	Clique
团势能	Clique Potential
时钟循环神经网络	Clockwork RNN
闭式解	Closed Form Solution
闭式	Closed-Form
簇	Cluster
聚类分析	Cluster Analysis
聚类假设	Cluster Assumption
聚类	Clustering
聚类集成	Clustering Ensemble
共适应	Co-Adapting
共现	Co-Occurrence
共现词频	Co-Occurrence Frequency
协同训练	Co-Training
编码	Code
码书学习	Codebook Learning
编码矩阵	Coding Matrix
协同过滤	Collaborative Filtering
收缩的吉布斯抽样	Collapsed Gibbs Sampling
共线性	Collinearity
国际学习理论会议	COLT
列	Column
列空间	Column Space
组合优化	Combinatorial Optimization
基于委员会的学习	Committee-Based Learning
共因	Common Cause
同父	Common Parent
紧奇异值分解	Compact Singular Value Decomposition
竞争型学习	Competitive Learning
互补松弛	Complementary Slackness
完全图	Complete Graph
完全连接	Complete Linkage
完全数据	Complete-Data
复杂细胞	Complex Cell
组件学习器	Component Learner
组合性	Compositionality
可解释性	Comprehensibility
计算代价	Computation Cost
计算图	Computation Graph
计算学习理论	Computational Learning Theory
计算语言学	Computational Linguistics
计算机视觉	Computer Vision
连结	Concatenate
概念类	Concept Class
概念漂移	Concept Drift
概念学习系统	Concept Learning System
概念偏移	Concept Shift
条件计算	Conditional Computation
条件熵	Conditional Entropy
条件独立	Conditional Independence
条件语言模型	Conditional Language Model
条件互信息	Conditional Mutual Information
条件概率	Conditional Probability
条件概率密度函数	Conditional Probability Density Function
条件概率分布	Conditional Probability Distribution
条件概率表	Conditional Probability Table
条件随机场	Conditional Random Field
条件风险	Conditional Risk
条件独立的	Conditionally Independent
国际神经信息处理系统会议	Conference On Neural Information Processing Systems
置信度	Confidence
冲突消解	Conflict Resolution
混淆矩阵	Confusion Matrix
共轭	Conjugate
共轭方向	Conjugate Directions
共轭分布	Conjugate Distribution
共轭梯度	Conjugate Gradient
共轭先验	Conjugate Prior
连接权	Connection Weight
连接主义	Connectionism
一致性	Consistency
一致性收敛	Consistency Convergence
约束优化	Constrained Optimization
基于内容寻址的存储	Content-Addressable Memory
上下文变量	Context Variable
上下文向量	Context Vector
上下文窗口	Context Window
上下文词	Context Word
特定上下文独立	Context-Specific Independences
上下文赌博机/上下文老虎机	Contextual Bandit
基于上下文的表示	Contextualized Representation
列联表	Contingency Table
连续词袋模型	Continous Bag-Of-Words Model
延拓法	Continuation Method
持续式任务	Continuing Task
