word	raw_rating	conc_aligned
低音	2.455	3.545
底片	2.030	3.970
恫吓	3.594	2.406
赌徒	1.939	4.061
厄运	3.562	2.438
噩梦	3.182	2.818
儿童	1.424	4.576
发扬	3.727	2.273
反扑	3.581	2.419
方法	3.455	2.545
诽谤	3.394	2.606
伏特	3.062	2.938
改观	3.697	2.303
干杯	2.061	3.939
干劲	3.438	2.562
告发	3.061	2.939
估价	2.939	3.061
骨头	1.606	4.394
怪诞	3.968	2.032
关节	1.667	4.333
过程	3.485	2.515
还手	2.697	3.303
号称	3.419	2.581
合作	2.750	3.250
核对	2.576	3.424
烘烤	1.939	4.061
华裔	1.656	4.344
魂魄	4.400	1.600
极品	3.562	2.438
加工	2.515	3.485
假扮	2.970	3.030
解梦	3.909	2.091
巾帼	2.719	3.281
晋见	3.097	2.903
精确	2.939	3.061
旧制	3.097	2.903
看到	2.152	3.848
渴望	3.515	2.485
蓝天	1.515	4.485
勒令	3.065	2.935
联赛	2.121	3.879
凌厉	3.697	2.303
羚羊	1.152	4.848
绿洲	1.969	4.031
冒雨	2.182	3.818
没趣	3.677	2.323
猛兽	2.212	3.788
蘑菇	1.242	4.758
陌生	3.375	2.625
内功	3.871	2.129
排球	1.333	4.667
炮火	1.879	4.121
切割	2.364	3.636
秦朝	1.750	4.250
取消	2.688	3.312
全国	2.212	3.788
确定	2.455	3.545
少女	1.879	4.121
审查	2.909	3.091
失手	3.182	2.818
收服	3.188	2.812
手笔	3.233	2.767
手枪	1.212	4.788
束缚	3.697	2.303
竖立	2.848	3.152
甩开	3.152	2.848
苏打	1.844	4.156
素材	2.879	3.121
算数	2.781	3.219
隧道	1.455	4.545
塔顶	1.545	4.455
太好	3.645	2.355
天敌	2.879	3.121
吞吐	3.273	2.727
挽回	3.273	2.727
危险	3.061	2.939
胃酸	1.939	4.061
文件	1.909	4.091
卧底	2.438	3.562
喜讯	2.606	3.394
衔接	3.226	2.774
现实	3.030	2.970
享用	3.091	2.909
消极	3.818	2.182
小我	3.862	2.138
孝敬	2.879	3.121
星光	2.242	3.758
哑铃	1.212	4.788
眼花	3.182	2.818
演讲	2.061	3.939
燕窝	1.485	4.515
养育	3.121	2.879
药厂	1.515	4.485
椰子	1.273	4.727
夜景	2.242	3.758
腋下	1.515	4.485
义气	3.719	2.281
驿站	2.212	3.788
有心	3.758	2.242
越狱	2.000	4.000
早报	1.788	4.212
质问	3.152	2.848
赘言	3.357	2.643
钻探	2.667	3.333
奥运	2.121	3.879
搬运	1.939	4.061
宝座	2.424	3.576
抱怨	3.545	2.455
悲剧	3.758	2.242
便衣	2.667	3.333
餐桌	1.273	4.727
侧重	3.758	2.242
差额	3.032	2.968
孱弱	3.594	2.406
沉痛	3.697	2.303
代理	2.939	3.061
弹性	3.424	2.576
登录	2.250	3.750
地牢	2.000	4.000
递补	3.429	2.571
肚脐	1.394	4.606
队形	2.031	3.969
防守	2.727	3.273
分心	3.364	2.636
干洗	2.000	4.000
攻守	3.061	2.939
鼓掌	1.788	4.212
刮风	1.848	4.152
官长	2.233	3.767
管乐	2.182	3.818
广播	1.909	4.091
鬼混	4.000	2.000
囫囵	3.935	2.065
花蜜	1.939	4.061
化石	1.576	4.424
环保	2.970	3.030
急救	2.152	3.848
忌日	2.219	3.781
寄托	4.000	2.000
家庭	2.182	3.818
尖端	3.156	2.844
检讨	2.788	3.212
见笑	3.727	2.273
缴械	2.636	3.364
戒毒	1.909	4.091
紧急	3.219	2.781
进取	3.485	2.515
禁毒	2.333	3.667
境界	4.250	1.750
纠缠	3.545	2.455
久远	3.303	2.697
臼齿	1.867	4.133
剧本	1.909	4.091
绝望	3.576	2.424
犒劳	3.212	2.788
可靠	3.364	2.636
可取	3.258	2.742
空隙	2.844	3.156
来源	3.152	2.848
蓝图	3.562	2.438
寥寥	4.030	1.970
镣铐	1.939	4.061
轮奸	2.000	4.000
屡次	3.194	2.806
麻烦	3.281	2.719
麦田	1.545	4.455
卖力	3.273	2.727
茂密	3.152	2.848
眉笔	1.333	4.667
门徒	2.375	3.625
迷惘	4.161	1.839
免税	2.152	3.848
拇指	1.273	4.727
能量	3.636	2.364
念书	1.939	4.061
皮蛋	1.333	4.667
平民	2.031	3.969
凄凉	3.812	2.188
期望	3.939	2.061
起初	3.375	2.625
抢救	2.188	3.812
清贫	3.152	2.848
丘脑	2.714	3.286
劝导	3.273	2.727
劝告	3.091	2.909
瘸腿	1.636	4.364
认真	3.303	2.697
日出	1.667	4.333
冗长	3.688	2.312
升值	3.000	3.000
生活	3.273	2.727
圣灵	4.300	1.700
圣言	3.733	2.267
试探	3.394	2.606
赎罪	3.344	2.656
水手	1.727	4.273
瞬间	3.667	2.333
叹息	2.788	3.212
贴现	3.074	2.926
伟大	3.848	2.152
屋子	1.515	4.485
熄灭	2.424	3.576
鲜嫩	2.970	3.030
闲话	2.939	3.061
详尽	3.303	2.697
向上	2.719	3.281
胸襟	3.844	2.156
雄辩	3.188	2.812
雄姿	3.455	2.545
巡回	3.182	2.818
训斥	2.848	3.152
延误	3.094	2.906
研发	3.062	2.938
仰卧	1.758	4.242
野蛮	3.455	2.545
衣架	1.121	4.879
疫情	2.606	3.394
婴儿	1.242	4.758
影子	2.212	3.788
永眠	3.303	2.697
诱惑	3.727	2.273
展示	2.909	3.091
正职	2.344	3.656
支持	2.970	3.030
职员	1.727	4.273
重婚	2.061	3.939
诸侯	2.394	3.606
哀号	2.778	3.222
鹌鹑	1.333	4.667
版本	2.778	3.222
伴奏	2.269	3.731
必修	2.423	3.577
搏斗	1.778	4.222
不便	3.704	2.296
裁缝	1.481	4.519
苍蝇	1.154	4.846
茶几	1.333	4.667
蝉鸣	1.667	4.333
抄家	2.615	3.385
赤脚	1.741	4.259
抽象	4.423	1.577
除非	3.538	2.462
船员	1.481	4.519
大人	2.556	3.444
盗版	2.654	3.346
登岸	2.269	3.731
堤岸	1.923	4.077
电信	2.577	3.423
钓鱼	1.481	4.519
叠加	3.000	3.000
洞察	3.269	2.731
对待	3.480	2.520
多嘴	3.000	3.000
耳朵	1.222	4.778
发福	2.500	3.500
废墟	2.111	3.889
高层	2.840	3.160
高攀	3.185	2.815
根本	3.792	2.208
购入	2.593	3.407
寡言	3.077	2.923
滚烫	2.292	3.708
国际	3.037	2.963
行政	2.963	3.037
航空	2.148	3.852
慌张	2.926	3.074
机器	2.111	3.889
纪录	2.519	3.481
纪律	2.852	3.148
加入	3.115	2.885
具体	3.115	2.885
刻板	3.222	2.778
客气	3.000	3.000
苦力	2.593	3.407
亏待	3.385	2.615
缆车	1.593	4.407
黎民	2.625	3.375
历法	2.815	3.185
立法	2.667	3.333
痢疾	2.333	3.667
林木	1.741	4.259
琉璃	1.846	4.154
名流	3.556	2.444
凝固	2.556	3.444
奴婢	2.185	3.815
女巫	1.962	4.038
盘算	3.115	2.885
滂沱	3.680	2.320
嫖客	1.778	4.222
票数	2.185	3.815
平衡	2.889	3.111
剖开	2.577	3.423
乞食	2.385	3.615
前进	2.370	3.630
腔调	3.000	3.000
强盗	1.692	4.308
亲近	3.111	2.889
禽兽	2.692	3.308
清点	3.074	2.926
蚯蚓	1.333	4.667
扰乱	3.222	2.778
设法	3.370	2.630
摄政	3.231	2.769
声誉	3.333	2.667
湿地	2.000	4.000
誓约	3.222	2.778
手表	1.259	4.741
私立	2.760	3.240
岁数	1.963	4.037
贪心	3.111	2.889
探究	3.704	2.296
恬静	3.407	2.593
填鸭	3.750	2.250
外向	3.615	2.385
王储	2.308	3.692
问题	3.115	2.885
喜乐	2.667	3.333
细小	2.778	3.222
相识	3.370	2.630
硝酸	1.630	4.370
斜视	2.481	3.519
星际	3.192	2.808
幸好	3.269	2.731
雪莱	2.905	3.095
巡警	1.667	4.333
药丸	1.593	4.407
野人	2.074	3.926
宜人	3.704	2.296
译名	3.231	2.769
银幕	2.259	3.741
银牌	1.630	4.370
鹦鹉	1.222	4.778
幽会	3.074	2.926
淤血	2.519	3.481
欲望	3.704	2.296
约数	3.480	2.520
阅兵	1.889	4.111
栈道	2.185	3.815
掌权	3.333	2.667
丈夫	1.462	4.538
振荡	3.074	2.926
整数	2.370	3.630
脂肪	1.923	4.077
直播	1.852	4.148
钟表	1.259	4.741
重力	3.185	2.815
注目	3.481	2.519
状态	3.963	2.037
捉摸	3.852	2.148
走廊	1.889	4.111
走私	2.885	3.115
把关	3.630	2.370
保值	3.750	2.250
表现	3.519	2.481
蹩脚	3.250	2.750
插嘴	3.000	3.000
