word	raw_rating	conc_aligned
女仆	1.962	4.038
排队	2.400	3.600
判决	3.000	3.000
陪葬	2.808	3.192
膨胀	3.808	2.192
谦让	3.577	2.423
嵌入	3.346	2.654
亲自	2.640	3.360
庆典	2.654	3.346
驱动	3.840	2.160
全能	3.577	2.423
全心	3.923	2.077
荣华	4.080	1.920
入味	3.577	2.423
三维	3.400	2.600
商店	1.615	4.385
上流	3.640	2.360
哨兵	1.577	4.423
舍得	3.808	2.192
肾脏	1.385	4.615
拾取	3.308	2.692
示众	3.077	2.923
事实	3.440	2.560
手铐	1.346	4.654
肃静	3.423	2.577
算计	3.880	2.120
特权	3.640	2.360
体验	4.077	1.923
铁蹄	2.692	3.308
涂鸦	2.808	3.192
屠夫	1.769	4.231
弯曲	2.731	3.269
为难	4.000	2.000
维护	3.360	2.640
维修	2.615	3.385
响应	3.962	2.038
向导	2.560	3.440
小孩	1.808	4.192
性别	1.923	4.077
袖口	1.692	4.308
虚脱	3.692	2.308
雪柜	2.348	3.652
血战	3.320	2.680
雅兴	4.250	1.750
要害	3.292	2.708
姨丈	1.577	4.423
以为	4.080	1.920
隐士	2.962	3.038
荧光	2.462	3.538
影响	3.960	2.040
用料	3.000	3.000
淤泥	2.038	3.962
原料	2.440	3.560
杂技	2.538	3.462
至宝	3.600	2.400
致命	3.615	2.385
自费	3.000	3.000
字幕	1.769	4.231
租金	1.846	4.154
按时	2.652	3.348
案发	3.174	2.826
保温	2.182	3.818
报仇	2.522	3.478
卑劣	3.130	2.870
辩才	3.524	2.476
标签	2.043	3.957
不公	3.000	3.000
彩票	1.826	4.174
苍白	2.957	3.043
插手	3.136	2.864
唱片	1.609	4.391
朝见	3.238	2.762
称号	3.043	2.957
成衣	2.227	3.773
斥资	3.043	2.957
纯金	1.870	4.130
刺耳	2.913	3.087
从事	3.130	2.870
挫折	3.636	2.364
导致	3.636	2.364
盗贼	1.565	4.435
道歉	2.130	3.870
凳子	1.304	4.696
地价	2.522	3.478
跌价	2.696	3.304
逗号	1.565	4.435
端正	3.174	2.826
儿科	2.087	3.913
方糖	1.870	4.130
分身	3.348	2.652
怪僻	3.652	2.348
关系	3.913	2.087
管家	2.130	3.870
鬼节	3.087	2.913
孩子	1.478	4.522
海流	2.381	3.619
寒舍	2.609	3.391
好转	3.304	2.696
浩劫	3.739	2.261
后背	1.870	4.130
灰色	2.043	3.957
辉煌	3.391	2.609
徽章	1.522	4.478
击毙	2.043	3.957
迹象	3.522	2.478
教育	3.304	2.696
景色	2.739	3.261
蓝色	1.783	4.217
历尽	4.227	1.773
励志	3.478	2.522
炼油	2.478	3.522
烈酒	2.217	3.783
榴弹	1.913	4.087
卵生	2.435	3.565
率直	3.478	2.522
煤气	1.391	4.609
每次	2.909	3.091
梦想	4.261	1.739
面貌	2.783	3.217
母亲	1.304	4.696
拿手	3.143	2.857
内行	3.130	2.870
平手	2.864	3.136
评委	1.913	4.087
凄厉	4.043	1.957
企望	4.182	1.818
气势	4.174	1.826
牵涉	3.955	2.045
谦卑	3.652	2.348
欠款	1.870	4.130
侨居	2.609	3.391
窍门	3.455	2.545
晴天	1.739	4.261
庆功	2.565	3.435
缺乏	3.318	2.682
热能	3.087	2.913
施恩	3.435	2.565
市民	1.783	4.217
收入	2.000	4.000
收拾	2.957	3.043
舒畅	3.087	2.913
熟识	3.130	2.870
漱口	1.609	4.391
体育	2.565	3.435
同乡	1.957	4.043
突然	3.652	2.348
土坑	1.783	4.217
亡灵	4.000	2.000
慰劳	3.304	2.696
无端	4.000	2.000
媳妇	1.435	4.565
仙桃	2.783	3.217
嫌疑	3.773	2.227
心智	3.652	2.348
刑期	2.609	3.391
兴建	3.217	2.783
寻根	3.636	2.364
迅速	3.174	2.826
夭折	3.261	2.739
要素	3.478	2.522
阴极	3.545	2.455
印刷	2.000	4.000
玉米	1.304	4.696
预祝	3.696	2.304
原理	3.545	2.455
远景	3.435	2.565
造反	3.174	2.826
斩首	1.826	4.174
张扬	3.391	2.609
甄别	3.522	2.478
征收	2.826	3.174
狰狞	3.391	2.609
整体	2.913	3.087
正气	3.304	2.696
政局	3.174	2.826
指名	2.783	3.217
忠诚	3.783	2.217
住宅	1.478	4.522
装配	2.391	3.609
坠机	1.913	4.087
自动	3.087	2.913
阻滞	3.609	2.391
作证	3.043	2.957
案件	2.783	3.217
包围	3.130	2.870
宝藏	2.826	3.174
保龄	3.476	2.524
编剧	2.391	3.609
表情	2.478	3.522
表征	4.087	1.913
差错	3.318	2.682
持续	3.478	2.522
憧憬	4.043	1.957
出土	2.435	3.565
垂危	2.870	3.130
打拳	1.870	4.130
逮捕	1.913	4.087
当选	2.455	3.545
斗牛	1.870	4.130
读音	2.391	3.609
度数	2.652	3.348
断裂	2.435	3.565
锻炼	2.609	3.391
恩典	3.696	2.304
耳环	1.478	4.522
烦恼	3.783	2.217
繁华	3.609	2.391
繁殖	2.348	3.652
粉丝	2.348	3.652
丰功	3.913	2.087
风筝	1.304	4.696
辅音	2.609	3.391
负债	2.261	3.739
赴宴	2.130	3.870
副刊	2.174	3.826
感情	4.348	1.652
姑娘	1.522	4.478
怪罪	3.522	2.478
归咎	3.652	2.348
归隐	3.261	2.739
国宝	2.217	3.783
过人	3.818	2.182
海景	2.174	3.826
何尝	4.000	2.000
黑幕	3.261	2.739
花样	3.773	2.227
画集	2.087	3.913
怀胎	2.000	4.000
缓慢	3.043	2.957
恍惚	4.130	1.870
挥舞	2.609	3.391
蛔虫	1.478	4.522
会面	2.435	3.565
馄饨	1.478	4.522
火葬	1.696	4.304
颊骨	1.826	4.174
降低	3.000	3.000
精密	3.435	2.565
净化	3.348	2.652
镜像	2.609	3.391
局限	3.826	2.174
剧毒	2.174	3.826
聚居	2.409	3.591
俊美	3.130	2.870
咖喱	1.652	4.348
阔绰	3.391	2.609
狼狈	3.435	2.565
老家	2.000	4.000
狸猫	1.565	4.435
民意	3.435	2.565
名字	1.957	4.043
木讷	3.174	2.826
木箱	1.391	4.609
脑海	3.783	2.217
黏液	2.043	3.957
拍卖	2.227	3.773
皮包	1.565	4.435
毗邻	3.217	2.783
评价	2.870	3.130
妻妾	1.739	4.261
气泵	1.870	4.130
山火	1.818	4.182
声明	2.696	3.304
剩余	3.000	3.000
势利	3.261	2.739
庶民	2.522	3.478
水费	1.522	4.478
顺手	3.043	2.957
思考	3.870	2.130
死敌	2.174	3.826
缩影	3.545	2.455
索取	3.130	2.870
倘若	4.048	1.952
逃课	1.913	4.087
陶器	1.348	4.652
提早	3.174	2.826
推拿	2.130	3.870
万物	3.739	2.261
维权	3.087	2.913
委托	3.087	2.913
巫婆	2.435	3.565
误解	3.182	2.818
先例	2.591	3.409
现场	1.913	4.087
械斗	2.348	3.652
刑事	2.522	3.478
寻常	3.739	2.261
鸦片	1.455	4.545
艳光	3.900	2.100
羊毛	1.609	4.391
医疗	2.391	3.609
原来	3.826	2.174
云梯	3.043	2.957
运程	3.182	2.818
运气	4.000	2.000
赞扬	3.000	3.000
脏话	2.348	3.652
增高	2.478	3.522
招聘	2.087	3.913
真正	3.739	2.261
政敌	2.870	3.130
直径	1.783	4.217
志愿	3.304	2.696
种族	2.304	3.696
助学	2.783	3.217
子女	1.261	4.739
挨近	2.920	3.080
隘口	2.680	3.320
扳倒	2.615	3.385
帮派	2.115	3.885
暴露	2.731	3.269
便服	2.385	3.615
表亲	2.538	3.462
别离	3.154	2.846
并列	3.000	3.000
播映	2.654	3.346
耻笑	2.885	3.115
赤道	1.885	4.115
串连	2.885	3.115
吹奏	2.269	3.731
唇舌	1.500	4.500
辞别	2.731	3.269
丛林	1.731	4.269
但是	3.522	2.478
蛋糕	1.346	4.654
党员	1.615	4.385
导言	2.615	3.385
倒退	2.692	3.308
稻草	1.346	4.654
点菜	2.077	3.923
电报	1.500	4.500
定时	2.240	3.760
反感	3.560	2.440
肥料	1.538	4.462
丰韵	3.423	2.577
奉献	3.440	2.560
复活	2.880	3.120
复述	2.680	3.320
肝炎	1.600	4.400
干活	2.500	3.500
阁楼	1.385	4.615
贡献	3.346	2.654
勾画	3.120	2.880
古文	2.000	4.000
故居	2.077	3.923
怪异	3.808	2.192
过失	3.320	2.680
航班	1.923	4.077
河豚	1.192	4.808
红心	2.520	3.480
琥珀	1.577	4.423
话题	3.115	2.885
火舌	3.261	2.739
讥讽	3.462	2.538
季节	1.962	4.038
建立	3.200	2.800
渐进	3.480	2.520
截止	2.846	3.154
拘谨	3.520	2.480
局外	3.769	2.231
看见	2.480	3.520
考察	3.154	2.846
考验	3.462	2.538
空手	1.960	4.040
口齿	2.154	3.846
老伴	1.615	4.385
猎犬	1.192	4.808
硫磺	1.231	4.769
律诗	2.240	3.760
略去	4.000	2.000
麻药	1.577	4.423
埋怨	3.038	2.962
冒昧	3.440	2.560
冥府	3.417	2.583
难得	3.800	2.200
匿名	2.560	3.440
农历	1.640	4.360
疲倦	3.115	2.885
频率	3.115	2.885
破解	3.400	2.600
普查	2.769	3.231
企业	1.760	4.240
曲目	2.077	3.923
人生	3.962	2.038
乳齿	1.654	4.346
删减	2.808	3.192
上告	2.920	3.080
社论	3.174	2.826
神父	1.923	4.077
生效	3.269	2.731
随机	3.385	2.615
所长	2.040	3.960
调查	2.800	3.200
跳绳	1.269	4.731
痛楚	3.615	2.385
瓦解	3.308	2.692
外语	1.880	4.120
污辱	3.292	2.708
舞狮	1.538	4.462
务实	3.280	2.720
狭小	3.200	2.800
小丑	2.200	3.800
孝顺	3.231	2.769
协力	3.400	2.600
心算	2.654	3.346
心愿	3.346	2.654
秀才	1.808	4.192
摇摇	3.200	2.800
遗弃	3.038	2.962
隐居	3.038	2.962
英国	1.115	4.885
泳衣	1.192	4.808
邮筒	1.346	4.654
友好	3.462	2.538
愿望	3.769	2.231
月历	1.808	4.192
韵味	4.080	1.920
再版	2.952	3.048
闸门	1.462	4.538
沾染	3.346	2.654
证书	1.346	4.654
政府	1.654	4.346
指数	2.720	3.280
指头	1.520	4.480
指引	3.560	2.440
中餐	1.538	4.462
主权	2.885	3.115
著名	3.400	2.600
抓住	2.346	3.654
作弊	2.000	4.000
爆炸	2.308	3.692
卑鄙	3.923	2.077
悲观	3.731	2.269
本分	3.708	2.292
表演	2.520	3.480
摒弃	3.560	2.440
才气	3.840	2.160
财务	2.417	3.583
菜园	1.423	4.577
参差	3.696	2.304
窗户	1.346	4.654
窗台	1.154	4.846
床位	1.538	4.462
催化	3.760	2.240
错过	3.654	2.346
大奖	2.308	3.692
稻田	1.346	4.654
地点	2.077	3.923
东洋	3.000	3.000
动作	2.500	3.500
陡峭	2.808	3.192
独力	3.640	2.360
对象	2.440	3.560
额头	1.346	4.654
发火	2.808	3.192
发酵	3.346	2.654
反贪	3.120	2.880
方阵	2.692	3.308
芳龄	2.615	3.385
肥沃	3.154	2.846
风帆	2.269	3.731
俯冲	2.885	3.115
富翁	2.115	3.885
富裕	3.320	2.680
腹泻	1.846	4.154
高尚	4.000	2.000
高危	3.680	2.320
共处	3.167	2.833
关联	3.600	2.400
归天	3.167	2.833
国庆	1.846	4.154
和服	1.692	4.308
和解	3.346	2.654
滑行	2.320	3.680
蝗虫	1.192	4.808
昏迷	2.654	3.346
活泼	3.400	2.600
获胜	2.654	3.346
激进	3.769	2.231
疾苦	3.538	2.462
技巧	3.167	2.833
家长	1.538	4.462
兼任	3.077	2.923
金钱	1.462	4.538
经商	2.692	3.308
救灾	2.385	3.615
坎坷	4.000	2.000
骷髅	1.462	4.538
来历	3.115	2.885
历代	3.423	2.577
连绵	3.615	2.385
列表	2.440	3.560
麻痹	3.423	2.577
马脚	2.957	3.043
漫步	2.385	3.615
毛病	3.200	2.800
美国	1.192	4.808
面包	1.115	4.885
明智	4.038	1.962
耐性	3.692	2.308
凝重	3.880	2.120
偶然	3.600	2.400
排行	2.720	3.280
牌匾	1.423	4.577
攀升	3.160	2.840
盘问	2.538	3.462
陪伴	3.038	2.962
棚屋	1.923	4.077
迫切	3.731	2.269
铺张	3.760	2.240
其余	3.478	2.522
情节	3.308	2.692
囚禁	2.346	3.654
取暖	2.192	3.808
取巧	3.731	2.269
诠释	3.885	2.115
任性	3.640	2.360
容貌	2.462	3.538
融化	3.269	2.731
上位	3.760	2.240
身处	3.440	2.560
身体	1.462	4.538
身影	2.280	3.720
生母	1.115	4.885
声带	1.808	4.192
省城	1.577	4.423
首席	2.500	3.500
受益	3.538	2.462
输赢	2.692	3.308
熟习	3.640	2.360
爽约	3.154	2.846
睡袋	1.231	4.769
抬头	1.800	4.200
特等	3.042	2.958
头盔	1.077	4.923
唾液	1.600	4.400
忘记	3.500	2.500
文本	2.346	3.654
香浓	3.692	2.308
协议	2.400	3.600
信差	2.462	3.538
野餐	1.538	4.462
臆测	4.040	1.960
印鉴	2.808	3.192
罂粟	1.385	4.615
迎击	3.154	2.846
远行	3.192	2.808
燥热	3.000	3.000
章鱼	1.231	4.769
镇压	3.615	2.385
主仆	2.000	4.000
壮举	3.923	2.077
座标	2.423	3.577
爱犬	1.966	4.034
白眼	2.828	3.172
办学	2.379	3.621
宝物	3.172	2.828
比重	3.370	2.630
闭关	3.321	2.679
不忍	3.310	2.690
掺杂	3.250	2.750
抽奖	2.034	3.966
出击	2.448	3.552
出门	1.724	4.276
处方	2.345	3.655
此时	2.655	3.345
措施	3.207	2.793
打败	2.414	3.586
打扰	2.621	3.379
蛋白	2.448	3.552
倒影	2.321	3.679
得手	3.276	2.724
灯饰	1.621	4.379
典礼	2.172	3.828
垫底	2.793	3.207
定义	3.429	2.571
动物	1.828	4.172
端详	3.483	2.517
耳目	2.926	3.074
发达	3.759	2.241
妨碍	3.276	2.724
放松	2.966	3.034
粉笔	1.379	4.621
粉红	2.103	3.897
辐射	3.000	3.000
钢铁	1.724	4.276
个案	3.000	3.000
宫女	1.655	4.345
挂心	3.880	2.120
呵欠	2.034	3.966
黑心	3.310	2.690
互动	3.207	2.793
缓步	2.655	3.345
晃动	2.069	3.931
货柜	1.379	4.621
家书	1.862	4.138
健全	3.103	2.897
叫号	2.615	3.385
结局	2.931	3.069
聚会	1.931	4.069
军令	2.000	4.000
可口	3.379	2.621
控制	3.448	2.552
窟窿	2.345	3.655
昆虫	1.621	4.379
老爷	2.517	3.483
利落	3.241	2.759
良善	3.500	2.500
领悟	3.897	2.103
麦穗	1.172	4.828
冒火	3.241	2.759
命运	4.517	1.483
模拟	3.828	2.172
纳税	1.793	4.207
牛肉	1.138	4.862
贫穷	3.103	2.897
潜藏	3.655	2.345
倾斜	2.690	3.310
情报	3.103	2.897
去年	1.793	4.207
认为	3.586	2.414
日照	2.207	3.793
肉搏	2.552	3.448
如今	3.172	2.828
搔痒	2.241	3.759
善事	2.966	3.034
烧烤	1.897	4.103
深刻	3.931	2.069
市井	3.517	2.483
手紧	3.417	2.583
售价	2.000	4.000
摔跤	1.828	4.172
爽快	3.207	2.793
说话	2.034	3.966
天幕	3.560	2.440
添加	3.207	2.793
挑拨	3.138	2.862
条约	2.310	3.690
通畅	2.759	3.241
通俗	3.448	2.552
痛哭	1.897	4.103
兔唇	1.793	4.207
拖拉	3.750	2.250
危楼	2.103	3.897
物价	2.621	3.379
戏院	1.655	4.345
相容	3.741	2.259
香炉	1.310	4.690
泄气	3.448	2.552
新鲜	3.034	2.966
凶宅	2.724	3.276
胸口	1.724	4.276
朽木	2.464	3.536
虚伪	4.103	1.897
叙述	3.138	2.862
雪山	1.517	4.483
腰果	1.379	4.621
易碎	3.000	3.000
意向	3.862	2.138
淫乱	3.429	2.571
樱桃	1.379	4.621
应付	3.448	2.552
远足	2.862	3.138
帐幕	2.321	3.679
沼泽	1.793	4.207
症结	3.241	2.759
执勤	2.103	3.897
指责	2.828	3.172
置身	3.500	2.500
中邪	4.069	1.931
重病	2.552	3.448
赚钱	2.448	3.552
追求	3.448	2.552
综观	3.870	2.130
棕色	1.655	4.345
总结	2.552	3.448
走神	3.517	2.483
安逸	3.690	2.310
办案	2.310	3.690
部分	3.414	2.586
参展	2.414	3.586
诧异	3.821	2.179
娼妓	2.214	3.786
车主	1.552	4.448
成人	1.655	4.345
出错	2.966	3.034
出口	1.897	4.103
传承	3.500	2.500
此行	3.517	2.483
代笔	2.310	3.690
的士	1.517	4.483
电路	2.034	3.966
电筒	1.483	4.517
都市	2.414	3.586
堆肥	2.920	3.080
敦促	3.286	2.714
发电	2.414	3.586
风车	1.552	4.448
副本	2.786	3.214
感觉	4.345	1.655
高级	3.862	2.138
歌迷	1.931	4.069
购买	2.069	3.931
乖僻	3.741	2.259
海马	1.690	4.310
合格	2.931	3.069
弘扬	3.828	2.172
后门	2.655	3.345
华侨	1.862	4.138
坏处	3.310	2.690
回应	3.000	3.000
火把	1.586	4.414
机灵	3.552	2.448
疾病	2.448	3.552
疾风	3.000	3.000
建造	2.724	3.276
津贴	2.286	3.714
劲敌	2.966	3.034
镜头	1.897	4.103
俊男	2.241	3.759
刊出	2.913	3.087
康复	2.690	3.310
可敬	3.655	2.345
力量	3.241	2.759
联合	3.034	2.966
联想	3.862	2.138
满意	3.276	2.724
谩骂	2.607	3.393
眉毛	1.345	4.655
漠视	3.793	2.207
谋杀	2.517	3.483
牡丹	1.483	4.517
耐用	3.172	2.828
南瓜	1.172	4.828
奴隶	2.034	3.966
旁观	3.483	2.517
佩剑	1.931	4.069
品茶	2.207	3.793
品酒	2.172	3.828
乞求	3.310	2.690
启蒙	3.862	2.138
契机	4.241	1.759
前面	2.517	3.483
襁褓	2.586	3.414
侵略	2.828	3.172
清酒	1.724	4.276
散热	3.034	2.966
森严	3.690	2.310
舍弃	3.241	2.759
摄入	3.241	2.759
摄氏	2.552	3.448
升幅	3.357	2.643
声势	3.517	2.483
胜仗	2.483	3.517
世俗	3.621	2.379
侍奉	2.929	3.071
视线	2.759	3.241
首级	2.552	3.448
殊荣	3.517	2.483
水利	2.448	3.552
私事	3.000	3.000
宋朝	1.655	4.345
粟米	1.429	4.571
胎生	2.207	3.793
推销	2.828	3.172
晚宴	2.000	4.000
危机	3.586	2.414
下级	2.621	3.379
咸蛋	1.483	4.517
祥和	3.552	2.448
心律	2.345	3.655
序幕	3.069	2.931
演绎	3.310	2.690
赝品	2.448	3.552
侥幸	3.828	2.172
野心	3.931	2.069
衣服	1.552	4.448
衣着	2.793	3.207
医术	3.138	2.862
樱花	1.138	4.862
幽怨	3.828	2.172
早餐	1.586	4.414
责任	3.207	2.793
招摇	3.586	2.414
遮丑	3.276	2.724
正式	3.379	2.621
正月	1.759	4.241
支付	1.862	4.138
支流	3.172	2.828
芝麻	1.310	4.690
织布	1.931	4.069
侄女	1.586	4.414
致富	3.172	2.828
秩序	2.897	3.103
中介	2.429	3.571
种类	2.857	3.143
周全	3.483	2.517
状况	3.862	2.138
姿态	3.379	2.621
组别	3.000	3.000
薄雾	2.174	3.826
本人	1.348	4.652
标明	2.304	3.696
兵家	2.864	3.136
补充	2.696	3.304
不甘	3.391	2.609
不久	3.455	2.545
簿记	2.895	3.105
擦拭	1.870	4.130
秤砣	1.130	4.870
初版	2.478	3.522
雏菊	1.739	4.261
纯真	3.696	2.304
单打	2.174	3.826
到达	1.957	4.043
登台	2.174	3.826
电器	1.957	4.043
玷污	3.522	2.478
豆腐	1.130	4.870
镀金	1.957	4.043
兑换	2.522	3.478
恩爱	2.913	3.087
发行	2.478	3.522
飞行	2.043	3.957
浮躁	3.522	2.478
父子	1.348	4.652
公司	1.391	4.609
恭维	3.217	2.783
构成	3.045	2.955
谷仓	1.409	4.591
关键	3.318	2.682
过期	2.130	3.870
害羞	3.000	3.000
好汉	2.826	3.174
合一	3.350	2.650
后院	1.565	4.435
互相	3.435	2.565
花店	1.348	4.652
画作	1.696	4.304
汇率	1.909	4.091
婚纱	1.348	4.652
火药	1.261	4.739
获利	2.739	3.261
悸动	3.810	2.190
间隔	3.000	3.000
见面	1.913	4.087
键盘	1.130	4.870
僵尸	2.619	3.381
讲究	3.609	2.391
教训	3.087	2.913
洁净	3.000	3.000
金鱼	1.130	4.870
尽头	3.455	2.545
警惕	3.130	2.870
敬语	3.136	2.864
炯炯	3.947	2.053
久等	3.304	2.696
就是	3.182	2.818
就坐	2.545	3.455
看透	3.696	2.304
孔子	1.478	4.522
矿石	1.348	4.652
拉车	2.174	3.826
连任	2.478	3.522
脸颊	1.391	4.609
茅屋	1.609	4.391
密林	2.174	3.826
名媛	2.478	3.522
募捐	2.261	3.739
奈何	3.864	2.136
内伤	3.391	2.609
牛市	2.739	3.261
捧场	3.043	2.957
骗子	2.391	3.609
奇怪	3.609	2.391
脐带	1.391	4.609
崎岖	3.000	3.000
切除	2.261	3.739
缺课	2.217	3.783
柔弱	3.522	2.478
烧伤	2.087	3.913
射程	2.174	3.826
申诉	2.364	3.636
失控	3.261	2.739
受聘	2.174	3.826
汤圆	1.174	4.826
桃花	1.130	4.870
题名	2.348	3.652
替代	2.696	3.304
痛风	2.217	3.783
投稿	2.043	3.957
突发	3.522	2.478
突兀	3.870	2.130
外遇	2.727	3.273
妄言	3.826	2.174
无私	3.522	2.478
咸鱼	1.652	4.348
现代	2.609	3.391
香蕉	1.130	4.870
橡皮	1.261	4.739
效果	3.182	2.818
胁持	3.000	3.000
玄机	4.136	1.864
玄学	4.364	1.636
雪白	2.435	3.565
佯装	3.227	2.773
翼龙	2.500	3.500
阴谋	3.304	2.696
应承	3.318	2.682
映射	3.318	2.682
雨水	1.435	4.565
御医	2.000	4.000
允许	2.696	3.304
杂草	1.391	4.609
增加	2.609	3.391
占地	2.478	3.522
遮蔽	2.870	3.130
震惊	3.304	2.696
征询	2.913	3.087
支援	3.087	2.913
逐步	3.273	2.727
捉住	1.913	4.087
阻止	2.522	3.478
坐椅	1.391	4.609
办事	2.783	3.217
包裹	1.739	4.261
被动	3.522	2.478
冰雕	1.435	4.565
常任	3.000	3.000
呈报	2.957	3.043
抽风	3.182	2.818
触觉	2.870	3.130
大家	2.609	3.391
大楼	1.348	4.652
订婚	1.565	4.435
兜风	2.696	3.304
兜售	2.522	3.478
渡轮	1.783	4.217
额外	3.000	3.000
凡人	2.913	3.087
返工	2.609	3.391
父母	1.261	4.739
恭喜	2.783	3.217
拐带	3.000	3.000
跪拜	2.304	3.696
国货	2.000	4.000
号令	3.217	2.783
灰心	3.348	2.652
彗星	1.522	4.478
及早	3.565	2.435
佳境	3.435	2.565
架子	2.217	3.783
肩膀	1.261	4.739
交往	2.739	3.261
角力	3.476	2.524
节日	2.000	4.000
洁白	2.783	3.217
解说	2.739	3.261
戒严	2.826	3.174
近期	3.435	2.565
经文	2.273	3.727
救援	2.435	3.565
咀嚼	1.870	4.130
卷发	1.435	4.565
开销	2.565	3.435
刊物	1.870	4.130
馈赠	2.565	3.435
老师	1.348	4.652
乐章	2.217	3.783
联军	2.609	3.391
脸型	2.217	3.783
良方	2.739	3.261
邻居	1.739	4.261
凛冽	3.739	2.261
流失	3.304	2.696
律动	3.591	2.409
蒙受	3.455	2.545
面世	3.348	2.652
秒表	1.261	4.739
墨鱼	1.261	4.739
某种	3.913	2.087
念经	2.455	3.545
期限	2.500	3.500
气馁	3.435	2.565
轻巧	3.348	2.652
清澈	2.609	3.391
请客	2.043	3.957
球赛	1.739	4.261
全貌	2.522	3.478
却步	3.762	2.238
日落	1.739	4.261
日元	1.435	4.565
入境	2.739	3.261
锐气	3.739	2.261
瑟缩	3.609	2.391
沙丘	1.609	4.391
射手	2.087	3.913
呻吟	2.957	3.043
升级	2.826	3.174
蚀本	3.056	2.944
氏族	2.435	3.565
侍应	3.435	2.565
疏散	2.609	3.391
熟练	2.957	3.043
丝巾	1.304	4.696
私人	2.591	3.409
泰国	1.087	4.913
淘气	3.000	3.000
调教	3.409	2.591
调戏	3.261	2.739
通称	3.261	2.739
同盟	2.522	3.478
同情	3.217	2.783
土地	1.435	4.565
推理	3.043	2.957
吞噬	3.261	2.739
微妙	3.739	2.261
文字	1.826	4.174
消除	2.870	3.130
携带	2.478	3.522
心情	3.261	2.739
学校	1.261	4.739
巡查	2.870	3.130
殉情	3.217	2.783
盐湖	2.000	4.000
眼科	1.739	4.261
揶揄	3.524	2.476
液体	1.870	4.130
异地	2.174	3.826
阴历	1.913	4.087
鹰爪	2.043	3.957
优秀	3.130	2.870
友情	2.913	3.087
幼龄	2.783	3.217
宇宙	2.522	3.478
浴衣	1.565	4.435
遭殃	3.304	2.696
眨眼	1.696	4.304
镇长	1.696	4.304
知足	3.348	2.652
质料	2.714	3.286
终点	2.391	3.609
装备	2.000	4.000
族谱	1.739	4.261
钻头	1.522	4.478
作战	2.739	3.261
做主	2.783	3.217
暗藏	3.591	2.409
百货	2.522	3.478
颁发	2.739	3.261
暴光	2.909	3.091
蝙蝠	1.522	4.478
标竿	2.783	3.217
层次	2.957	3.043
查明	2.870	3.130
差事	3.043	2.957
掣肘	3.684	2.316
充公	3.045	2.955
愁苦	3.217	2.783
刺刀	1.304	4.696
错怪	2.870	3.130
答谢	2.652	3.348
弹头	2.087	3.913
得力	3.227	2.773
电镀	2.091	3.909
订单	2.000	4.000
动人	3.739	2.261
冻肉	1.652	4.348
对于	3.773	2.227
顿悟	3.636	2.364
烦躁	2.826	3.174
访问	2.261	3.739
纷争	2.565	3.435
粉嫩	2.783	3.217
份量	2.696	3.304
封锁	2.957	3.043
高明	3.130	2.870
弓箭	1.391	4.609
归途	3.043	2.957
寒酸	3.217	2.783
旱灾	2.000	4.000
和声	3.304	2.696
后辈	2.087	3.913
话语	2.696	3.304
回想	3.136	2.864
活动	2.455	3.545
活该	3.455	2.545
剧场	2.130	3.870
开门	1.609	4.391
开心	2.609	3.391
口气	3.091	2.909
蜡烛	1.304	4.696
练功	2.478	3.522
量杯	1.682	4.318
列入	3.304	2.696
邻国	2.304	3.696
流浪	2.739	3.261
麻辣	2.391	3.609
麻脸	2.381	3.619
麻醉	2.364	3.636
马力	2.826	3.174
馒头	1.130	4.870
蔓延	3.682	2.318
每当	3.773	2.227
拍摄	2.045	3.955
骗局	2.609	3.391
瓢虫	1.261	4.739
祈祷	3.174	2.826
祈求	3.522	2.478
骑士	1.957	4.043
旗杆	1.304	4.696
弃子	3.286	2.714
千米	1.913	4.087
桥牌	1.826	4.174
清兵	2.000	4.000
情况	3.348	2.652
晴朗	2.348	3.652
驱散	3.130	2.870
曲调	2.565	3.435
全民	2.043	3.957
热情	3.000	3.000
如意	3.348	2.652
弱势	2.609	3.391
伤心	2.957	3.043
赏金	1.957	4.043
神圣	3.870	2.130
生态	3.130	2.870
实干	3.095	2.905
授权	3.048	2.952
属下	2.304	3.696
水门	2.889	3.111
水准	3.500	2.500
摊位	1.826	4.174
痛骂	2.696	3.304
屯兵	2.762	3.238
未来	3.636	2.364
文官	2.261	3.739
闲人	2.636	3.364
贤淑	3.522	2.478
销售	2.087	3.913
斜坡	1.783	4.217
星象	2.905	3.095
兴致	3.391	2.609
胸部	1.652	4.348
休眠	2.435	3.565
学位	1.826	4.174
烟民	1.696	4.304
妖术	3.826	2.174
义务	3.522	2.478
引言	2.696	3.304
应该	3.429	2.571
遇见	2.652	3.348
遇难	2.478	3.522
造化	4.087	1.913
炸弹	1.409	4.591
展开	3.091	2.909
战乱	2.348	3.652
长相	2.478	3.522
招牌	2.478	3.522
珍藏	2.870	3.130
整合	3.318	2.682
正名	3.227	2.773
汁液	1.913	4.087
枝节	2.600	3.400
值日	2.304	3.696
制服	1.609	4.391
忠告	3.273	2.727
重播	2.217	3.783
重金	2.826	3.174
主脑	2.952	3.048
桌布	1.130	4.870
安排	2.913	3.087
斑马	1.304	4.696
办公	2.652	3.348
保护	3.087	2.913
保障	3.571	2.429
背光	2.667	3.333
博览	3.304	2.696
出狱	1.955	4.045
出浴	1.870	4.130
船长	1.348	4.652
闯进	3.217	2.783
辞退	2.261	3.739
