token,count
计,45735
默,45662
市,45526
咱,45504
买,45494
举,45491
忽,45384
耳,45299
首,44845
类,44684
治,44619
圣,44540
灯,44480
志,44346
医,44218
云,44187
哭,44111
节,44075
瞧,44053
桌,44046
品,44016
伙,43958
严,43802
顶,43708
弄,43679
牛,43609
剑,43581
疑,43558
娜,43519
争,43458
岁,43238
社,43207
司,43136
简,42997
普,42995
示,42932
托,42918
围,42878
婚,42819
座,42781
居,42608
雷,42559
华,42526
历,42523
持,42317
段,42308
演,42308
业,42302
引,42272
造,42226
洛,41829
爸,41822
忘,41763
玩,41749
续,41706
图,41668
纸,41455
肉,41352
抱,41258
调,41173
园,41021
线,40852
喊,40831
枪,40795
戏,40722
依,40697
玉,40635
游,40572
存,40538
店,40525
伊,40454
永,40431
止,40419
招,40416
改,40407
推,40283
号,40271
纳,40246
激,40176
费,40157
梦,39975
温,39822
支,39794
汉,39784
章,39765
叶,39744
斗,39742
证,39700
野,39659
歌,39468
掌,39449
史,39404
需,39325
顿,39214
称,39137
吉,39110
刀,39057
雨,38993
团,38799
兄,38778
独,38777
旧,38443
墙,38402
靠,38284
态,38268
鬼,38187
帝,38104
议,38058
伸,38020
程,37952
索,37884
沙,37857
玛,37786
料,37781
建,37692
差,37615
排,37565
查,37483
袋,37482
左,37366
闪,37355
散,37308
察,37281
修,37277
鱼,37254
妹,37179
脱,37172
午,37160
婆,37135
笔,37012
究,36932
苏,36906
顾,36778
继,36720
考,36697
初,36548
渐,36490
田,36462
松,36402
坏,36396
姆,36332
茶,36304
某,36292
毫,36254
烈,36190
醒,36103
唱,35782
具,35774
校,35614
仿,35572
仅,35505
务,35449
贵,35449
击,35380
春,35228
腿,35154
术,35151
势,35109
抓,35070
艺,35060
否,35055
杨,35031
鲁,34782
致,34676
乡,34674
卖,34659
塞,34544
奶,34469
充,34465
爵,34345
班,34335
恐,34316
忍,34252
夏,34166
莱,34107
余,34030
印,34005
翻,33999
塔,33910
集,33900
麻,33827
贝,33754
剧,33677
顺,33672
妻,33509
龙,33472
陈,33326
共,33308
江,33307
寻,33238
护,33219
泪,33205
警,33166
伦,33035
纪,32978
弗,32906
诺,32893
右,32853
异,32817
瓦,32781
摆,32680
端,32635
据,32536
习,32476
景,32468
封,32444
篇,32411
罢,32332
盖,32242
展,32219
怒,32135
舞,32134
承,32113
遇,32051
罪,32042
商,32034
救,31845
馆,31635
担,31537
元,31497
参,31484
秘,31418
庄,31324
丈,31258
药,31171
追,31038
短,30896
责,30886
蒙,30864
食,30862
农,30780
退,30726
区,30692
雅,30512
养,30371
副,30368
齐,30337
换,30328
套,30319
梅,30316
架,30268
摸,30261
悲,30233
闹,30195
善,30155
洋,30080
胜,30072
模,29966
劳,29903
富,29810
试,29770
迷,29751
懂,29677
敌,29665
怜,29656
丁,29654
权,29621
守,29542
杯,29504
压,29439
险,29405
统,29398
陆,29396
助,29385
阴,29364
趣,29339
逃,29337
烧,29228
厅,29154
秋,29147
埃,29062
藏,29035
杂,28977
叹,28969
油,28900
按,28818
恩,28753
洗,28727
戴,28724
熟,28676
份,28675
牙,28637
银,28469
局,28466
朵,28389
吸,28366
祖,28340
抬,28305
烦,28282
挂,28153
列,27985
敬,27977
族,27926
免,27915
骂,27854
萨,27849
刺,27824
蒂,27626
肩,27625
恨,27590
曲,27582
京,27560
骑,27544
皇,27528
透,27418
灰,27339
闻,27321
