token,count
从来,17632
容易,17620
派,17618
很快,17569
自,17542
学生,17532
哩,17490
外面,17436
前面,17412
表示,17402
待,17394
早,17348
存在,17330
社会,17323
罢,17314
帮,17284
爸爸,17222
内,17221
小说,17120
行,17083
中间,17037
抱,17032
红,17010
曾经,16999
听说,16959
哦,16879
酒,16865
老人,16853
远,16850
穿着,16818
重要,16808
骂,16804
门口,16784
打开,16742
奇怪,16731
幸福,16728
腿,16691
这次,16663
脚,16638
大声,16634
挂,16633
即,16607
戴,16581
喊,16548
有个,16429
明天,16401
受到,16336
机会,16332
却是,16233
电话,16196
常常,16178
画,16128
另外,16119
确实,16077
只好,15968
直到,15894
才能,15889
害怕,15887
那天,15817
那位,15809
读,15791
诗,15777
嘴,15768
可怕,15753
是否,15739
愿,15700
便是,15633
靠,15549
眼前,15519
车,15505
唱,15501
漂亮,15498
下面,15495
最好,15492
句,15456
充满,15446
不了,15432
关于,15432
嘛,15432
感情,15414
老师,15402
床上,15347
亲爱,15337
留下,15305
走到,15262
双手,15258
学校,15221
力量,15173
人物,15152
消息,15119
接受,15082
提,15020
解释,15008
历史,14972
四,14946
处,14943
坐下,14933
日,14912
令人,14906
既然,14902
结婚,14892
再也,14858
美丽,14834
至少,14819
怎么样,14799
更加,14774
王,14772
主人,14771
每个,14746
方面,14721
对方,14696
黑暗,14683
进去,14660
露出,14634
快乐,14592
太阳,14585
指,14451
原因,14427
答应,14334
敌人,14262
全部,14251
少,14234
是因为,14227
重新,14208
再说,14191
爱情,14177
表现,14155
参加,14141
打算,14088
未,14062
梦,14034
女子,14031
时代,14027
妈,14026
美国,13990
自由,13981
各,13971
一家,13968
产生,13956
究竟,13951
不行,13916
病,13903
头上,13889
人类,13857
美,13846
国王,13841
只见,13830
担心,13825
教,13809
极,13779
作品,13773
难,13752
不用,13686
理解,13617
脑袋,13592
兄弟,13577
那边,13515
心情,13492
第一次,13491
小时,13478
桌子,13471
不少,13468
几天,13466
各种,13451
显然,13434
卖,13401
态度,13345
早已,13344
不肯,13288
每天,13253
忘,13238
风,13230
离,13228
抓住,13220
掉,13200
带来,13179
个人,13170
渐渐,13165
路上,13117
客人,13109
此刻,13082
通过,13081
消失,13045
如今,13031
的确,13014
活,12990
一年,12979
口气,12975
篇,12975
一场,12972
怀疑,12964
非,12958
光,12956
一根,12944
响,12934
转,12933
我会,12926
吃饭,12917
杨,12905
不必,12826
考虑,12823
院子,12812
剑,12781
学,12747
失去,12704
屋里,12690
比较,12677
法国,12676
算,12662
停,12660
人民,12650
提出,12647
至于,12585
承认,12576
好好,12546
耳朵,12544
表情,12538
青年,12518
结束,12507
灵魂,12495
城市,12490
或是,12485
直,12482
装,12443
发,12428
帮助,12427
谈话,12400
动,12394
周围,12393
革命,12380
想象,12363
经常,12361
轻轻,12359
按,12351
是从,12348
不断,12327
爹,12318
上去,12287
玩,12280
不久,12259
这话,12193
抓,12189
椅子,12186
想要,12169
大人,12108
座,12079
嘴里,12044
第二天,12044
危险,12032
进入,12031
变,12023
早就,12016
沉默,11995
哥哥,11983
改变,11975
手指,11970
公司,11936
立即,11912
一座,11875
不见,11842
呆,11837
搞,11829
越来越,11821
方式,11794
想法,11766
下午,11741
甚么,11725
干什么,11714
同志,11708
秘密,11690
姐姐,11684
懂,11675
战争,11669
一道,11620
照,11613
阳光,11613
敢,11612
嗯,11609
一步,11606
汽车,11606
亦,11589
忘记,11551
一口,11508
好象,11507
及,11501
家伙,11499
无论,11490
简单,11463
果然,11454
研究,11422
说明,11397
李,11396
起身,11385
到处,11370
街上,11364
心想,11353
早晨,11349
应当,11346
尤其,11331
点头,11317
神,11302
作家,11297
爬,11296
脖子,11295
就算,11251
影响,11228
办,11193
众人,11190
不得不,11172
不幸,11163
随着,11161
嘴唇,11158
等待,11153
属于,11129
穿过,11080
噢,11076
意识,11076
半,11066
相当,11051
挺,11017
引起,11012
眼泪,10994
常,10993
说完,10990
刚刚,10981
或许,10971
全都,10965
伟大,10955
盯,10949
生气,10935
居然,10908
年轻人,10907
附近,10906
马车,10906
走出,10900
英国,10885
船,10858
天空,10841
低声,10837
想着,10827
一副,10825
变化,10821
将来,10803
不禁,10785
意义,10758
之下,10756
巴黎,10729
茶,10725
所谓,10670
同意,10663
父母,10662
从前,10645
剩下,10634
医院,10608
激动,10594
有关,10530
不停,10478
文学,10473
遇到,10467
差不多,10457
管,10419
厉害,10392
脸色,10385
斯,10377
习惯,10374
飞,10367
一时,10365
怎么办,10350
回头,10336
反正,10327
绝对,10327
唯一,10298
不让,10294
计划,10294
人生,10287
火,10283
证明,10283
之外,10266
副,10254
手中,10250
急,10246
恐怕,10244
旧,10244
鼻子,10239
竟然,10233
交给,10227
一番,10222
吹,10221
怪,10208
叹,10206
事实,10192
警察,10177
假如,10176
坏,10148
一股,10142
阿,10129
教堂,10126
传来,10119
行动,10118
可爱,10111
换,10109
老婆,10109
文章,10069
转身,10068
山,10060
唉,10051
语言,10047
妹妹,10046
少女,10021
两只,10004
娘,9993
少年,9986
一生,9978
首先,9967
般的,9959
很大,9932
文化,9925
一遍,9920
韦小宝,9916
紧紧,9905
陪,9904
一会,9891
不住,9880
口,9859
两位,9856
主要,9853
行为,9852
始终,9845
命运,9842
家庭,9829
活动,9812
成功,9810
错,9793
肉,9781
令,9772
艺术,9768
不但,9758
四个,9755
理由,9754
胳膊,9744
身后,9708
咱,9706
街,9700
喂,9699
接,9697
这时候,9695
努力,9694
一段,9689
开口,9649
深,9648
满,9614
愉快,9604
音乐,9591
反对,9585
陆小凤,9579
安排,9577
旁,9565
留在,9559
近,9553
命令,9530
够,9514
依然,9510
只不过,9507
北京,9504
毫无,9497
诗人,9496
桌上,9487
所说,9479
睡觉,9469
聪明,9460
此时,9455
武功,9455
啥,9450
方向,9434
石头,9430
擦,9417
厨房,9407
恨,9391
年纪,9383
血,9373
尽,9354
政治,9354
一头,9344
说出,9339
拍,9332
枪,9324
意见,9319
一下子,9311
落,9301
底,9298
上来,9283
空气,9271
帽子,9259
神情,9246
久,9245
报纸,9239
冷,9229
目的,9227
来看,9216
屋子,9202
放下,9185
烟,9185
热,9178
巨大,9169
吓,9168
看出,9164
活着,9149
女孩,9130
颜色,9109
而已,9106
反而,9090
一群,9088
方法,9058
哼,9052
当年,9039
冲,9037
否则,9025
等到,9024
事物,9023
至,9012
死亡,9011
情形,9005
树,8996
紧张,8994
闹,8988
安,8973
上海,8972
懂得,8938
主意,8936
命,8935
妇女,8935
肩膀,8934
金,8933
昨天,8932
不仅,8916
动作,8883
具有,8878
甚,8870
寻找,8862
兴奋,8845
发展,8839
咬,8835
休息,8822
第,8822
号,8819
楚留香,8811
天下,8796
拒绝,8791
仔细,8782
随便,8767
可惜,8761
应,8757
达,8751
扔,8731
牛,8731
一支,8720
白色,8717
地位,8711
不安,8708
一半,8707
鬼,8706
也好,8686
五,8684
有时候,8684
忍不住,8640
作者,8632
不如,8624
破,8622
一口气,8617
伸手,8612
面,8606
走过,8594
知,8591
微微,8588
灯,8559
低,8551
平静,8543
大门,8539
安慰,8535
摸,8520
一双,8508
窗户,8507
放心,8497
藏,8497
某种,8494
熟悉,8485
沿着,8479
保持,8462
加上,8462
条,8461
重,8459
实际上,8455
没什么,8454
米,8451
介绍,8437
时期,8436
一旦,8435
今日,8423
留,8422
互相,8414
热情,8410
选择,8397
夏天,8392
报告,8391
胡,8390
道理,8389
老板,8388
小心,8361
大约,8342
早上,8341
教育,8340
俩,8338
部分,8325
丢,8322
特,8314
盖,8285
获得,8276
城里,8259
俺,8246
办公室,8246
一层,8241
夜里,8239
时刻,8235
经历,8213
眼,8212
使用,8207
如同,8202
全身,8199
猫,8191
纸,8181
老太太,8176
乱,8164
强烈,8153
答道,8153
星期,8143
娜,8133
土地,8125
加,8114
一点儿,8106
自从,8088
见面,8085
内心,8084
法,8080
代表,8079
面对,8075
模样,8067
空,8058
定,8056
恐惧,8054
种种,8053
并非,8046
推,8045
故意,8039
卡,8031
往往,8029
不得,8016
讨厌,8008
任何人,8006
分,8005
伸出,7997
必要,7997
恢复,7995
随后,7990
对面,7983
冒,7976
等等,7974
最近,7958
情绪,7955
照片,7954
四周,7948
包括,7943
看上去,7942
戏,7938
床,7935
背后,7935
西,7934
奶奶,7930
黄,7930
一间,7923
将军,7913
根据,7906
摆,7905
客厅,7900
学习,7899
经验,7893
提到,7890
扑,7875
鱼,7866
男子,7862
一辆,7837
眼光,7834
手上,7823
送到,7809
瞪,7798
舒服,7785
谢谢,7778
顶,7778
完成,7774
吻,7766
翻,7766
门外,7744
算是,7737
麻烦,7736
满足,7733
值得,7732
一本,7723
小小的,7716
罢了,7713
人群,7703
骑士,7702
那条,7700
第一,7693
洗,7683
黑色,7675
抬起,7672
看不见,7670
很少,7668
二人,7666
词,7665
来自,7664
愤怒,7660
按照,7657
一份,7654
工人,7653
以下,7640
口袋,7638
肚子,7628
灯光,7627
严肃,7626
背,7623
几次,7622
本身,7622
刀,7618
最大,7613
毕竟,7597
不够,7591
般,7589
满意,7580
再次,7576
难以,7547
墙上,7542
运动,7533
关心,7529
睡着,7515
姓,7511
第一个,7506
正好,7502
之一,7498
圣,7497
救,7496
远处,7494
困难,7490
皇帝,7481
骑,7481
小伙子,7473
尿,7458
老爷,7457
拿出,7440
大学,7438
动物,7433
旅馆,7426
端,7419
笑容,7418
仅仅,7414
伯爵,7414
且,7403
不成,7391
心灵,7391
屋子里,7388
饭,7386
左右,7377
真实,7377
觉,7377
森林,7369
身,7367
爷爷,7364
每次,7362
本人,7357
看起来,7353
不怕,7348
以来,7348
躲,7341
温柔,7338
世上,7336
领导,7333
更是,7318
念,7314
保护,7311
直接,7304
不该,7292
脚步,7279
多年,7273
抽,7267
彼此,7265
约,7265
英雄,7265
印象,7264
出于,7257
说不定,7250
知识,7245
点点头,7238
一颗,7228
对不起,7219
小孩,7217
摇头,7214
敲,7208
鸟,7196
观察,7187
做出,7179
读者,7173
沉重,7170
